Project,File,Key,Comment,,Comment.af,.af,Comment.da,.da,Comment.de,.de,Comment.es,.es,Comment.fi,.fi,Comment.fr,.fr,Comment.hu,.hu,Comment.it,.it,Comment.lt,.lt,Comment.lv,.lv,Comment.nl,.nl,Comment.no,.no,Comment.pl,.pl,Comment.pt,.pt,Comment.ru,.ru,Comment.sk,.sk,Comment.sr,.sr,Comment.tr,.tr,Comment.uk,.uk,Comment.zh-CHS,.zh-CHS
AgOpenGPS,Culture\gStr,gsActual,,Actual,,zActual,,Aktuel,,Aktuell,,Actual,,Todellinen,,Réel,,Aktuális,,Attuale,,Faktinis,,Faktiskais,,Actueel,,Aktuell,,Aktualny,,Real,,,,Skutočný,,Faktička,,gerçek,,Фактичн,,实际
AgOpenGPS,Culture\gStr,gsAdvancedTramLines,,Create Advanced Tramlines,,,,Lav avancerede sprøjtespor,,Erweitertes Fahrgassenmenü,,Crea Línea de Carril avanzada,,Ajourat (edistynyt),,Création trains de pulvé avancé,,Haladó művelőút készítése,,Crazione Avanzata Corsie di Passaggio,,Sukurti sudėtingas tech. vėžes,,Izveidot uzlabotas tehnoloģiskās sliedes,,Creer uitgebreide spuitpaden,,Lag avanserte sprøytespor,,Utwórz zaawansowane linie tramwajowe.,,,,Создание тех.колеи,,,,,,Gelişmiş Rota oluştur,,,,
AgOpenGPS,Culture\gStr,gsAgree,,I Agree to the Terms & Conditions,,,,Jeg accepterer regler og vilkår,,Ich stimme den Geschäftsbedingungen zu.,,Estoy de acuerdo con los términos y condiciones,,Hyväksyn käyttöehdot,,J'accepte les termes & conditions,,Elfogadom a felhasználói feltételeket,,Accetto I Termini e le Condizioni,,Sutinku su sąlygomis,,Es piekrītu noteikumiem un nosacījumiem,,Ik stem in met de algemene voorwaarden.,,Jeg godtar vilkårene,,Zgadzam się na warunki i zasady.,,,,Я согласен с условиями использования,,,,Slažem se sa uslovima korišćenja,,şartlar ve koşulları kabul ediyorum,,,,
AgOpenGPS,Culture\gStr,gsAgressiveness,,Agressiveness,,zAgressiveness,,Aggressivitet,,Aggressivität,,Agresividad,,Agerssiivisuus,,Agressivité,,Érzékenység,,Aggressivita',,Agresyvumas,,Agresivitāte,,Agressiviteit,,Aggressivitet,,Agresywność,,Agressividade,,Агрессивность,,Agresivita,,Agresivnost,,Agresif,,Агресивн.,,强烈
AgOpenGPS,Culture\gStr,gsAlpha,,Alpha,,,,,,,,Alfa,,Alpha,,Alpha,,Átlátszóság,,Alfa,,Alpha,,Caurspīdīgums,,,,Alfa,,Alfa,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAntennaHeight,,Antenna Height,,,,Antenne højde,,Antennenhöhe,,Altura de antena,,GPS-antennin Korkeus,,Hauteur d'antenne,,Antenna magasság,,Altezza Antenna,,Antenos aukštis,,Antenas augstums,,Antenne Hoogte,,Antennehøyde,,Wysokość anteny,,,,Высота антенны,,,,Visina antene,,Anten Yüksekliği,,,,
AgOpenGPS,Culture\gStr,gsAntennaOffset,,Antenna Offset,,,,Antenne offset,,Antennenversatz,,Desfase de antena,,GPS-antennin Siirtymä,,Décalage d'antenne,,Antenna eltolás,,Disallineamento Antenna,,Antenos poz. kompensavimas,,Antenas nobīde,,Antenne-verschuiving,,Antenneforskyvning,,Przesunięcie anteny,,,,Смещение антенны,,,,Pomeraj antene,,anten sapma değeri,,,,
AgOpenGPS,Culture\gStr,gsApplied,,Applied,,,,Bearbejdet ,,Bearbeitet,,Aplicado,,Käsitelty,,Exécuté,,Alkalmaz,,Applicata,,Apdirbta,,Apstrādāts,,Bewerkt,,Brukt,,Ukończono,,,,,,,,Obrađeno,,,,,,
AgOpenGPS,Culture\gStr,gsAquire,,Acquire,,,,Erhverve,,,,Adquirir,,,,Acquérir,,Rátalálás,,Acquisizione,,Pasiekti,,Sasniedzamība,,Aquisitie,,Skaffe,,,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAquireDescription,,Acquire = Factor * Hold,,,,Erhverve = Faktor * Hold,,,,Adquirir= factor * espera,,,,,,Rátalálás = Arány * Tartás,,Acquisizione Linea = Coefficiente * Hold,,Pasiekti = Faktorius * Išlaikymas,,Sasniedzamība = Faktors * Aizture,,,,Skaffe = Faktor * Hold,,,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAquireFactor,,Aquire Factor,,,,Erhverve Faktor,,,,Factor de adquirir,,,,Facteur d'acquisition,,Rátalálási arány,,Coefficiente di Acquisizione,,Pasiekimo faktorius,,Sasniedzamības faktors,,Lijn Aquisitie,,Aquire faktor,,,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAreYouSure,,Are you sure ?,,zAre you sure ?,,Er Du Sikker ?,,Sicher?,,¿Está seguro?,,Oletko varma ?,,Êtes-vous sûr ?,,Biztosan?,,Ne sei sicuro?,,Ar tikrai?,,Vai tu esi pārliecināts ?,,Weet u het zeker?,,Er du sikker?,,Jesteś pewny?,,Tem certeza ?,,Вы уверены?,,Ste si istý?,,Da li ste sigurni?,,Emin misin ?,,Ви впевнені?,,确定?
AgOpenGPS,Culture\gStr,gsArea,,Area,,zArea,,Areal,,Fläche,,Área,,Alue,,Zone,,Terület,,Area,,Plotas,,Platība,,Oppervlakte,,Område,,Powierzchnia,,Área,,Площадь,,Plocha,,Površina,,Alan,,Площа,,面积
AgOpenGPS,Culture\gStr,gsAttachmentStyle,,Attachment Style,,,,Påhæng type,,Maschinentyp,,Estilo de acople,,Laitteen tyyppi,,Type d'attelage,,Eszköztípus,,Tipologia di Attrezzo,,Padargo tipas,,Piekabināmās iekārtas veids,,Type werktuig,,Festestil,,Rodzaj Narzędzia,,,,Тип прицепного оборудования,,,,Tip priključka,,,,,,
AgOpenGPS,Culture\gStr,gsAuto,,Auto,,,,Auto,,,,Auto,,Automaattinen,,Auto,,Automata,,Auto,,Auto,,Auto,,,,Auto,,Auto,,,,Авто ,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAutoOffAgIO,,Auto Off AgIO,,,,,,AgIO auto. schließen,,Auto Apagado AgIO,,Sulje AgIO Automaattisesti,,Arrêt auto d'AgIO,,AgIO automatikus leállítása,,Auto Off AgIO,,Auto AgIO išjungimas,,Auto izslēgt AgIO,,Sluit AgIO af bij afsluiten,,Auto Av AgIO,,Auto Off AgIO,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAutoStartAgIO,,Auto Start AgIO,,,,,,AgIO auto. starten,,Auto Inicio AgIO,,Käynnistä AgIO Automaattisesti,,Démarrage auto AgIO,,AgIO automatikus indítása,,Avvio Automatico AgIO,,Auto AgIO įjungimas,,Auto ieslēgt AgIO,,Start AgIO bij opstarten,,Auto Start AgIO,,Auto Start AgIO,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAutoSteer,,Auto Steer,,zAuto Steer,,Autostyring,,Lenkungseinstellungen,,Autoguiado,,Automaattiohjauksen ,,Autoguidage,,Automata kormányzás,,Autoguida,,Automatinio vairavimo,,Automātiskā stūrēšana,,Autostuur,,Autostyring,,Autoprowadzenie,,Direção Automática,,Автопилот,,Autopilota,,Autopilot,,Otomatik Yönlendirme,,Налаштування автопілота,,方向盘配置
AgOpenGPS,Culture\gStr,gsAutoSteerConfiguration,,Auto Steer Configuration,,zAuto Steer Configuration,,Autostyring Indstillinger,,Lenkeinstellungen,,Configuración Autoguiado,,Automaattiohjauksen asetukset,,Configuration autoguidage,,Automata kormányzás beállítása,,Configurazione Autoguida,,Automatinio vairavimo konfigūracija,,Automātiskās stūrēšanas konfigurācija,,Autostuur Configuratie,,Konfigurer autostyring,,Konfiguracja Autoprowadzenia,,Configuração de direção automática,,Настройка автопилота,,Nastavenie Autopilota,,Konfiguracija autopilota,,Otomatik Yönlendirme Yapılandırması,,Налаштування автопілота,,方向盘配置
AgOpenGPS,Culture\gStr,gsAutoSteerPort,,AutoSteer Port,,zAutoSteer Port,,Autostyrings Port,,AutoSteer Port,,Puerto de Autoguiado,,Automaattiohjauksen portti,,Port autoguidage,,Automata kormányzás portja,,Porta Autoguida,,Automatinio vairavimo prievadas,,Automātiskās stūrēšanas ports,,Autosteer Configuratie,,Port for autostyring,,Port Autoprowadzenia,,Porta AutoSteer,,Порт автопилота,,Autopilot Port,,Port autopilota,,Otomatik Yönlendirme Port,,Порт автопілота,,方向盘端口
AgOpenGPS,Culture\gStr,gsAutoSwitchDualFix,,Auto Dual <> Fix,,,,,,,,,,Auto Dual <> Fix,,,,,,Auto Dual <> Fix,,Auto Dual <> Fix,,Auto Dual <> Fix,,,,Auto Dual <> Fiks,,Auto Dual <> Fix,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAutoSwitchDualFixSpeed,,Switch speed (km/h),,,,,,Umschaltgeschwindigkeit,,,,Dual<>Fix km/h,,,,,,Interruttore Velocità (km/h),,Auto įjungimas (KM/H),,Pārslēgšanās ātrums (km/h),,Dual<>Fix km/h,,Bytt hastighet (km/t),,Prędkość przełączania (km/h),,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsBackground,,Background,,,,Baggrund,,Hintergrund,,,,Tausta,,Arrière-plan,,Háttér,,Sfondo,,Fonas,,Fons,,Achtergrond,,Bakgrunn,,Tło,,,,Фон,,,,Pozadina,,,,,,
AgOpenGPS,Culture\gStr,gsBasedOnField,,Based on Field:,,zBased on Field:,,Baseret På Mark,,Basierend auf Feld:,,Basado en parcela:,,Perustuen peltoon:,,Basé sur le champ:,,A következő terület alapján:,,Basato Sul Campo,,Remiantis lauku:,,Pamatojoties uz lauku:,,Gebaseerd op veld:,,,,Na podstawie pola:,,Com base no campo:,,Основа поля,,Použiť pole: ,,Koristi parcelu:,,Alana Göre:,,Первин.поле,,基本:
AgOpenGPS,Culture\gStr,gsBottomMenu,,Bottom Menu,,,,Bund Menu,,Unteres Menü,,,,Alavalikko,,Menu du bas,,Alsó menü,,Menu Inferiore,,Apatinis menu,,Apakšējā izvēlne,,Onderste Rij Menu,,Bunnmeny,,Dolne menu,,,,Нижнее меню,,,,Donji meni,,,,,,
AgOpenGPS,Culture\gStr,gsBoundary,,Boundary,,zBoundary,,Markgrænse,,Schlaggrenze erstellen,,Lindero,,Raja,,Bordures,,Művelési határ,,Confine,,Ribos,,Robeža,,Perceelgrens,,Grense,,Granica,,Limite,,Граница,,Hranica,,Granica,,Sınır,,Межа,,边界
AgOpenGPS,Culture\gStr,gsBoundaryLineFilesAreCorrupt,,Boundary Lines File Corrupt,,zBoundary Lines File Corrupt,,Fejl I KantlInjens Fil,,Außengrenze datei fehlerhaft,,Fichero de lindero corrupto,,Rajaviivatiedosto korruptoitunut,,Fichier bordures corrompu,,Művelési határvonal fájlja sérült,,Il File Delle Linee Di Confine è Corrotto,,Ribinių linijų failas sugadintas,,Robežlīniju fails ir bojāts,,Perceelgrens lijn is corrupt,,Grensefilene er korrupte,,Uszkodzony plik granic,,Arquivo de linhas de limite corrompido,,Файл границ поврежден,,Súbor s hranicou je neplatný,,Fajl granične linije neispravan,,Sınır Çizgileri Dosyası Bozuk,,Файл межових ліній пошкоджено,,边界线文件损坏
AgOpenGPS,Culture\gStr,gsBoundaryMenu,,Boundary Contour,,zBoundaryMenu,,Menu Markgrænse,,Kontur an der Außengrenze,,Contorno del lindero,,Rajakäyrä,,Menu bordures,,Határgörbe,,Menu confine,,Ribinis kontūras,,Robežas kontūra,,Perceelgrens Menu,,Grensekontur,,Kontur granicy,,Contorno de limite,,Контур границы,,Kontúra hranice ,,Meni granice,,,,Контур границь,,
AgOpenGPS,Culture\gStr,gsBrightness,,Brightness,,,,Lysstyrke,,Helligkeit,,Brillo,,Kirkkaus,,Luminosité,,Fényerő,,Luminosità,,Švesumas,,Spilgtums,,Helderheid,,Lysstyrke,,Jasność,,,,Яркость,,,,Osvetljenje,,,,,,
AgOpenGPS,Culture\gStr,gsBuild,,Build,,,,Byg,,Erstellen,,Construir,,Luo,,Créer,,Épít,,Costruisci,,Sukurti,,Izveidot,,Maak,,Bygg,,Utwórz,,,,Создать,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsBuildAround,,Build Around,,,,Byg omkring,,Herum aufbauen,,Construir alrededor,,Luo Ympärille,,Autour,,Körbe épít,,Costruisci Attorno,,Sukurti aplink,,Izveidot apkārt,,Maak rondom,,Bygg rundt,,Utwórz wokół,,,,Создать вокруг,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsButFieldIsLoaded,,But Field Is Loaded,,zBut Field Is Loaded,,Men Mark Er Indlæst,,aber Feld wurde geladen,,Parcela todavía cargada,,Mutta pelto on ladattu,,Champ tout de même chargé,,BUT fájl betöltve,,Campo Gia' Caricato,,Laukas užkrautas,,Lauks jau ir ielādēts,,maar veld is geladen,,Men feltet er lastet,,Pole już załadowane,,Mas o campo está carregado,,Поле загружено,,Pole je už načítané,,Parcela je već učitana,,Ama Alan Yüklendi,,Поле завантажено,,田块已加载
AgOpenGPS,Culture\gStr,gsButtonPicker,,Button Picker,,,,Knap vælger,,Tastenauswahl,,Seleccionador de botones,,Napin valitsin,,Sélecteur de boutons,,Gombválasztó,,Selettore Pulsante,,Mygtuko parinkimas,,Pogu izvēle,,Knoppen Kiezer,,Knappvelger,,Wybór przycisku,,,,Выбор кнопки,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsCameraBehavior,,Camera Behavior,,,,Kamera adfærd,,Kameraverhalten,,Comportamiento de cámara,,Kameran käyttäytyminen,,Comportement caméra,,Kamera viselkedése,,Comportamento Camera,,Kameros elegsena,,Kameras reakcija,,Camera-reactie,,Kameraatferd,,Zachowanie kamery,,,,Поведение камеры,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsCancel,,Cancel,,,,Afbryd,,Abbrechen,,Cancelar,,Peru,,Annuler,,Mégsem,,Cancella,,Atšaukti,,Atcelt,,Afbreken,,Avbryt,,Zamknij,,,,Отмена,,,,Prekini,,,,,,
AgOpenGPS,Culture\gStr,gsCenter,,Center,,,,Centrere,,Mitte,,Centro,,Keskitä,,Milieu,,Középre,,Centra,,Centras,,Centrs,,Midden,,Midten,,środek,,,,Центр,,,,средњи,,,,,,
AgOpenGPS,Culture\gStr,gsCentimeters,,Centimeter,,zCentimeter,,cm,,Zentimeter,,Centímetros,,Senttimetri,,Centimètre,,Centiméter,,Centimetri,,Centimetras,,Centimetrs,,Centimeter,,Centimeter,,cm,,Centímetro,,см,,Centimetre,,cm,,Santimetre,,сантиметри,,厘米
AgOpenGPS,Culture\gStr,gsCharts,,Charts,,zCharts,,Grafik,,Diagramme,,Gráfico,,Kaaviot,,Graphiques,,Grafikonok,,Grafico,,Diagramos,,Diagrammas,,Grafiek,,Diagrammer,,Wykresy,,Gráficos,,Графики,,Graf,,Grafikoni,,Tablosu,,Кермо,,
AgOpenGPS,Culture\gStr,gsCheckForUpdates,,Check for Updates,,,,Kontroller om opdatering,,Nach Updates suchen,,Revisar actualizaciones,,Tarkasta Päivitykset,,Vérifier les mises à jour,,Frissítések keresése,,Controllo Aggiornamenti,,Patikrinti atnaujinimus,,Pārbaudīt atjauninājumus,,Check hier voor updates!,,Se etter oppdateringer,,Sprawdź aktualizacje,,,,Проверить обновления,,,,Ažuriraj,,,,,,
AgOpenGPS,Culture\gStr,gsChoose,,Choose,,,,Vælg,,Wählen,,Escoger,,Valitse,,Choisir,,Válassz,,Scegli,,Pasirinkti,,Izvēlēties,,Kies Modus,,Velg,,Wybierz,,,,Выбрать,,,,Izbor,,,,,,
AgOpenGPS,Culture\gStr,gsChooseADifferentField,,Choose a different field,,zChoose a different field,,Vælg anden mark,,Wählen sie ein anderes Feld,,Seleccione otra Parcela,,Valitse toinen pelto,,Choisissez un autre champ,,Válassz egy másik területet,,Scegli Un Campo Diverso,,Pasirinkite kitą lauką,,Izvēlieties citu lauku,,Kies een ander perceel,,Velg et annet skifte,,Wybierz inne pole,,Escolha um campo diferente,,Выберите другое поле,,Vyberte iné pole,,Izaberi drugu parcelu,,Farklı bir alan seçin,,Вибр.інше поле,,选择一个不同田块
AgOpenGPS,Culture\gStr,gsChooseADifferentName,,Choose a different name,,zChoose a different name,,Vælg andet navn,,Wählen sie einen anderen Namen,,Seleccione otro Nombre,,Valitse toinen nimi,,Choisissez un autre nom,,Válassz egy másik nevet,,Scegli Un Nome Diverso,,Pasirinkite kitą pavadinimą,,Izvēlieties citu nosaukumu,,Kies een andere naam,,Velg et annet navn,,Wybierz inną nazwę,,Escolha um nome diferente,,Выберите другое название,,Vyberte iný názov,,Izaberi drugi naziv,,Farklı bir ad seçin,,Вибр.інше ім'я,,选择一个不同名称
AgOpenGPS,Culture\gStr,gsChooseBuildDifferentone,,Choose or Build a Different one,,zChoose or Build a Different one,,Vælg eller opret en anden,,Wählen sie oder erstelle ein Anderes,,Seleccione o cree otro,,Valitse tai rakenna toinen,,Choisissez ou créez  un autre,,Válassz vagy készíts egy másikat,,Scegli O Creane Un Altro,,Pasirinkite arba sukurkite kitą,,Izvēlieties vai izveidojiet citu,,Kies of maak een ander,,Velg eller bygg en annen,,Wybierz lub utwórz inny,,Escolha ou construa um diferente,,Выберите или создайте другой,,Vyberte  alebo vytvorte iné,,Izaberi ili generiši novo,,Farklı Birini Seçin veya Oluşturun,,Вибер.або побуд.інше,,选择或新建一个
AgOpenGPS,Culture\gStr,gsClipLine,,Clip Line,,,,Klip linje,,Linie schneiden,,Línea de corte,,Leikkaa viiva,,Découpe,,Vonal elvágása,,Linea di Taglio,,Nukirpti liniją,,Nogriezt,,Snij af,,Klipp linje,,Przytnij linię,,,,Линия разреза,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsClose,,Close,,ZClose,,Lukke,,Schließen,,Cerrar,,Sulje,,Fermer,,Bezár,,Chiudere,,Uždaryti,,Aizvērt,,Sluiten,,Lukk,,Zamknij,,Fechar,,Закрыть,,Zavrieť,,Zatvori,,Kapamak,,завершувати,,
AgOpenGPS,Culture\gStr,gsCloseAllWindowsFirst,,Close All Windows First,,zClose All Windows First,,Luk alle vinduer først,,Bitte alle Fenster schließen,,Por favor  cierre primero todas las ventanas,,Sulje ensin kaikki ikkunat,,Fermez d'abord toutes les fenêtres,,Zárd be az összes ablakot először,,Chiudi prima tutte le finestre,,Pirma uždaryti visus langus,,Vispirms aizveriet visus logus,,Sluit eerst alle vensters,,Lukk alle vinduer først,,Najpierw zamknij okna,,Feche todas as janelas primeiro,,Сначала закройте все окна,,,,Najpre zatvorite sve prozore,,,,Спочатку закрийте всі вікна,,
AgOpenGPS,Culture\gStr,gsCloseFieldFirst,,Close Field First,,zClose Field First,,Luk først mark,,Feld vorher schließen,,Antes cierre el fichero,,Sulje ensin pelto,,Fermez d'abord le champ,,Zárd be a területet először,,Prima Chiudere Il Campo!,,Pirmiausia uždaryti lauką,,Vispirms aizveriet lauku,,Sluit eerst perceel,,Lukk skiftet først,,Najpierw zamknij pole,,Fechar campo primeiro,,Сначала закройте поле,,Najskôr zavrite pole,,Najpre zatvorite polje,,Önce Alanı Kapat,,Спершу закрити поле,,请先关闭田块
AgOpenGPS,Culture\gStr,gsCmPix,,Cm -> Pixel,,,,,,,,Cm -> Pixel,,Cm -> Pixel,,Cm -> Pixel,,Cm -> Pixel,,Cm -> Pixel,,Cm -> Pixel'is,,Cm -> Pikselis,,,,Cm -> Piksel,,Cm -> Pixel,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsColorPicker,,Color Picker,,,,Farve vælger,,Farbauswahl,,Seleccionador de colores,,Värin Valitsin,,Sélecteur de couleurs,,Színválasztó,,Selettore Colore,,Spalvo parinkimas,,Krāsu izvēle,,Kleuren-waaier,,Fargevelger,,Wybór koloru,,,,Выбор цвета,,,,Izbor boje,,,,,,
AgOpenGPS,Culture\gStr,gsColors,,Colors,,zColors,,Farver,,Farben,,Colores,,Värit,,Couleurs,,Színek,,Colori,,Spalvos,,Krāsas,,Kleuren,,Farger,,Kolory,,Cores,,Цвета,,Farby,,Boje,,Renkler,,Кольори,,颜色
AgOpenGPS,Culture\gStr,gsCompletelyDeleteBoundary,,Completely Delete Boundary,,zCompletely Delete Boundary,,Slet kant fuldstændig,,Schlaggrenze löschen,,Borrar completamente Lindero,,Poista raja kokonaan,,Supprimer totalement la bordure,,Művelési határ teljes törlése,,Cancellare Completamente Il Confine,,Visiškai ištrinkite ribą,,Pilnībā dzēst robežu,,Verwijder de hele perceelgrens,,Slett grensen fullstendig,,Całkowicie usuń granicę,,Excluir completamente o limite,,Полностью удалить границу,,Kompletne vymazať hranicu,,Brisanje granice,,Sınırı Tamamen Sil,,Повністю стерти межу,,完全删除边界
AgOpenGPS,Culture\gStr,gsConfiguration,,Configuration,,zConfiguration,,Indstillinger,,Konfiguration,,Configuración ,,Asetukset,,Configuration,,Beállítások,,Configurazione ,,Konfigūracija,,Konfigurācija,,Configuratie,,Konfigurasjon,,Konfiguracja ,,Configuração ,,Конфигурация,,Nastavenie ,,Podešavanja,,Yapılandırması,,Налаштування,,方向盘配置
AgOpenGPS,Culture\gStr,gsContourFileIsCorrupt,,Contour File Corrupt,,zContour File Corrupt,,Fejl i kontur fil,,Kontur Datei fehlerhaft,,Fichero de contorno corrupto,,Käyrätiedosto korruptoitunut,,Fichier contour corrompu,,Kontúr fájl hibás,,File Perimetri Corrotto,,Sugadintas kontūro failas,,Kontūras fails ir bojāts,,Contour bestand corrupt,,Konturfilen er korrupt,,Uszkodzony plik konturów,,Arquivo de contorno corrompido,,Файл контура поврежден,,Súbor s kontúrou je neplatný,,Fajl neispravan,,Kontur Dosyası Bozuk,,Контурний файл пошкоджено,,边界文件损坏
AgOpenGPS,Culture\gStr,gsContourOn,,Contour On,,zContour On,,Kontur igang,,Kontur aktiviert,,Contorno activado,,Rajakäyrä päälle,,Contour activé,,Kontúr be,,Perimetro Attivo,,Kontūras įjungtas,,Kontūra ieslēgta,,Contour Aan,,Kontur På,,Kontur włączony,,Contorno ativado,,Контур Вкл,,Kontúry zapnuté,,Konture aktivne,,Kontur Açık,,Контур увімк,,边界开
AgOpenGPS,Culture\gStr,gsCouldntGenerateValidPath,,No Valid Path,,zNo Valid Path,,Ingen valid filsti,,Kein gültiger Pfad,,Ruta no válida,,Ei kelvollista polkua,,Chemin non valide,,Nem sikerült az útvonalkészítés,,Non E' Possibile Generare Un Percorso Valido,,Nėra galiojančio kelio,,Nav derīga ceļa,,Geen juist pad,,Kunne ikke generere gyldig vei,,Niewłaściwa ścieżka,,Nenhum caminho válido,,Неправильный путь,,Žiadna platná cesta,,Nema putanje,,Geçerli Yol Yok,,Немає дійсного шляху,,无有效路径
AgOpenGPS,Culture\gStr,gsCountsPerDegree,,Counts Per Degree,,,,Tæller pr. grad,,,,Pulsos por grado,,Pulssia / Asteelle,,Counts par degrés,,CPD osztószáma,,Conteggi per Grado,,Pulsai per laipsnį,,Impulsi uz grādu,,Stap-per-graad,,Steg pr grad,,Liczba na stopień,,,,,,,,Impuls / °,,,,,,
AgOpenGPS,Culture\gStr,gsCoverage,,% Coverage,,,,% dækning,,% Deckung,,% Cobertura,,% Peitto,,% couverture,,% művelve,,% Copertura,,% Padengta,,% Apstrādāts,,% Dekking,,% Dekning,,% Pokrycia,,,,% Покрытия,,,,% pokrivenosti,,,,,,
