Project,File,Key,Comment,,Comment.af,.af,Comment.da,.da,Comment.de,.de,Comment.es,.es,Comment.fi,.fi,Comment.fr,.fr,Comment.hu,.hu,Comment.it,.it,Comment.lt,.lt,Comment.lv,.lv,Comment.nl,.nl,Comment.no,.no,Comment.pl,.pl,Comment.pt,.pt,Comment.ru,.ru,Comment.sk,.sk,Comment.sr,.sr,Comment.tr,.tr,Comment.uk,.uk,Comment.zh-CHS,.zh-CHS
AgOpenGPS,Culture\gStr,gsAdvancedTramLines,,Create Advanced Tramlines,,,,Lav avancerede sprøjtespor,,Erweitertes Fahrgassenmenü,,Crea Línea de Carril avanzada,,Ajourat (edistynyt),,Création trains de pulvé avancé,,Haladó m?vel?út készítése,,Crazione Avanzata Corsie di Passaggio,,Sukurti sud?tingas tech. v?žes,,Izveidot uzlabotas tehnolo?isk?s sliedes,,Creer uitgebreide spuitpaden,,Lag avanserte sprøytespor,,Utwórz zaawansowane linie tramwajowe.,,,,???????? ???.?????,,,,,,Geli?mi? Rota olu?tur,,,,
AgOpenGPS,Culture\gStr,gsAgree,,I Agree to the Terms & Conditions,,,,Jeg accepterer regler og vilkår,,Ich stimme den Geschäftsbedingungen zu.,,Estoy de acuerdo con los términos y condiciones,,Hyväksyn käyttöehdot,,J'accepte les termes & conditions,,Elfogadom a felhasználói feltételeket,,Accetto I Termini e le Condizioni,,Sutinku su s?lygomis,,Es piekr?tu noteikumiem un nosac?jumiem,,Ik stem in met de algemene voorwaarden.,,Jeg godtar vilkårene,,Zgadzam si? na warunki i zasady.,,,,? ???????? ? ????????? ?????????????,,,,Slažem se sa uslovima koriš?enja,,?artlar ve ko?ullar? kabul ediyorum,,,,
AgOpenGPS,Culture\gStr,gsAgressiveness,,Agressiveness,,zAgressiveness,,Aggressivitet,,Aggressivität,,Agresividad,,Agerssiivisuus,,Agressivité,,Érzékenység,,Aggressivita',,Agresyvumas,,Agresivit?te,,Agressiviteit,,Aggressivitet,,Agresywno??,,Agressividade,,?????????????,,Agresivita,,Agresivnost,,Agresif,,????????.,,??
AgOpenGPS,Culture\gStr,gsAlpha,,Alpha,,,,,,,,Alfa,,Alpha,,Alpha,,Átlátszóság,,Alfa,,Alpha,,Caursp?d?gums,,,,Alfa,,Alfa,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAntennaHeight,,Antenna Height,,,,Antenne højde,,Antennenhöhe,,Altura de antena,,GPS-antennin Korkeus,,Hauteur d'antenne,,Antenna magasság,,Altezza Antenna,,Antenos aukštis,,Antenas augstums,,Antenne Hoogte,,Antennehøyde,,Wysoko?? anteny,,,,?????? ???????,,,,Visina antene,,Anten Yüksekli?i,,,,
AgOpenGPS,Culture\gStr,gsAntennaOffset,,Antenna Offset,,,,Antenne offset,,Antennenversatz,,Desfase de antena,,GPS-antennin Siirtymä,,Décalage d'antenne,,Antenna eltolás,,Disallineamento Antenna,,Antenos poz. kompensavimas,,Antenas nob?de,,Antenne-verschuiving,,Antenneforskyvning,,Przesuni?cie anteny,,,,???????? ???????,,,,Pomeraj antene,,anten sapma de?eri,,,,
AgOpenGPS,Culture\gStr,gsApplied,,Applied,,,,Bearbejdet ,,Bearbeitet,,Aplicado,,Käsitelty,,Exécuté,,Alkalmaz,,Applicata,,Apdirbta,,Apstr?d?ts,,Bewerkt,,Brukt,,Uko?czono,,,,,,,,Obra?eno,,,,,,
AgOpenGPS,Culture\gStr,gsAquire,,Acquire,,,,Erhverve,,,,Adquirir,,,,Acquérir,,Rátalálás,,Acquisizione,,Pasiekti,,Sasniedzam?ba,,Aquisitie,,Skaffe,,,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAquireDescription,,Acquire = Factor * Hold,,,,Erhverve = Faktor * Hold,,,,Adquirir= factor * espera,,,,,,Rátalálás = Arány * Tartás,,Acquisizione Linea = Coefficiente * Hold,,Pasiekti = Faktorius * Išlaikymas,,Sasniedzam?ba = Faktors * Aizture,,,,Skaffe = Faktor * Hold,,,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAquireFactor,,Aquire Factor,,,,Erhverve Faktor,,,,Factor de adquirir,,,,Facteur d'acquisition,,Rátalálási arány,,Coefficiente di Acquisizione,,Pasiekimo faktorius,,Sasniedzam?bas faktors,,Lijn Aquisitie,,Aquire faktor,,,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAreYouSure,,Are you sure ?,,zAre you sure ?,,Er Du Sikker ?,,Sicher?,,¿Está seguro?,,Oletko varma ?,,Êtes-vous sûr ?,,Biztosan?,,Ne sei sicuro?,,Ar tikrai?,,Vai tu esi p?rliecin?ts ?,,Weet u het zeker?,,Er du sikker?,,Jeste? pewny?,,Tem certeza ?,,?? ????????,,Ste si istý?,,Da li ste sigurni?,,Emin misin ?,,?? ?????????,,???
AgOpenGPS,Culture\gStr,gsArea,,Area,,zArea,,Areal,,Fläche,,Área,,Alue,,Zone,,Terület,,Area,,Plotas,,Plat?ba,,Oppervlakte,,Område,,Powierzchnia,,Área,,???????,,Plocha,,Površina,,Alan,,?????,,??
AgOpenGPS,Culture\gStr,gsArrangeText,,"Touch the buttons on the left side you want to appear in the Menu (The right side). 

The order you push them will be the order they appear on the menu from bottom up.",,,,"Klik på de knapper til venstre, som du ønsker skal være i Menu (den højre side)

Rækkefølgen du klikker på dem, angiver placeringen nedefra og op",,"Berühren Sie die Schaltflächen auf der linken Seite, die im Menü angezeigt werden sollen (die rechte Seite).  Die Reihenfolge, in der Sie sie drücken, entspricht der Reihenfolge, in der sie von unten nach oben im Menü erscheinen.",,"Toca los botones a la izquierda que quieres que aparezcan en el menú (lado derecho).

El orden en que los presiones será el orden en que aparecerán en el menú de abajo hacia arriba.",,"Kosketa vasemmalla puolella olevia kuvakkeita, joiden haluat näkyvän valikossa (oikea puoli).

 Kuvakkeet näkyvät alhaalta ylöspäin siinä järjestyksessä jossa ne ovat valittu.",,"Cliquez sur les boutons de gauche pour les afficher dans le menu de droite.

L'ordre dans lequel vous cliquez, sera l'ordre dans lequel ils apparaîtrons dans le menu, de bas en haut.",,"Válaszd ki a gombokat bal oldalról, hogy a Menüben megjelenjenek.

A választott sorrend alapján fognak megjelenni alulról felfelé.",,Seleziona i pulsanti nel box a sinistra secondo l'ordine con cui vuoi che appaiano in AOG Menu. L'ordina sarà dal basso verso l'alto.,,"Paspauskite mygtuk? kair?je, kad jis atsirast? menu dešin?je.                            Kokia tvarka juos paspausite, tokia tvarka atsiras Menu",,"Pieskarieties pog?m kreisaj? pus?, kuras v?laties lai par?d?s izv?ln? (labaj? pus?).",,"Gebruik de knoppen aan de linkerkant die u in het menu wilt laten verschijnen (de rechterkant).

De volgorde waarin u ze indrukt, is de volgorde waarin ze van onder naar boven in het menu verschijnen.",,"Trykk på knappene på venstre side som du vil skal vises i menyen (høyre side). Rekkefølgen du trykker på dem, vil være rekkefølgen de vises i menyen fra bunnen opp.",,"Dotknij przycisków po lewej stronie, które chcesz, aby pojawi?y si? w Menu (po prawej stronie).
Kolejno??, w jakiej je naci?niesz, b?dzie kolejno?ci?, w jakiej pojawi? si? w menu od do?u do góry.",,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAttachmentStyle,,Attachment Style,,,,Påhæng type,,Maschinentyp,,Estilo de acople,,Laitteen tyyppi,,Type d'attelage,,Eszköztípus,,Tipologia di Attrezzo,,Padargo tipas,,Piekabin?m?s iek?rtas veids,,Type werktuig,,Festestil,,Rodzaj Narz?dzia,,,,??? ?????????? ????????????,,,,Tip priklju?ka,,,,,,
AgOpenGPS,Culture\gStr,gsAuto,,Auto,,,,Auto,,,,Auto,,Automaattinen,,Auto,,Automata,,Auto,,Auto,,Auto,,,,Auto,,Auto,,,,???? ,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAutoOffAgIO,,Auto Off AgIO,,,,,,AgIO auto. schließen,,Auto Apagado AgIO,,Sulje AgIO Automaattisesti,,Arrêt auto d'AgIO,,AgIO automatikus leállítása,,Auto Off AgIO,,Auto AgIO išjungimas,,Auto izsl?gt AgIO,,Sluit AgIO af bij afsluiten,,Auto Av AgIO,,Auto Off AgIO,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAutoStartAgIO,,Auto Start AgIO,,,,,,AgIO auto. starten,,Auto Inicio AgIO,,Käynnistä AgIO Automaattisesti,,Démarrage auto AgIO,,AgIO automatikus indítása,,Avvio Automatico AgIO,,Auto AgIO ?jungimas,,Auto iesl?gt AgIO,,Start AgIO bij opstarten,,Auto Start AgIO,,Auto Start AgIO,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAutoSteer,,Auto Steer,,zAuto Steer,,Autostyring,,Lenkungseinstellungen,,Autoguiado,,Automaattiohjauksen ,,Autoguidage,,Automata kormányzás,,Autoguida,,Automatinio vairavimo,,Autom?tisk? st?r?šana,,Autostuur,,Autostyring,,Autoprowadzenie,,Direção Automática,,?????????,,Autopilota,,Autopilot,,Otomatik Yönlendirme,,???????????? ??????????,,?????
AgOpenGPS,Culture\gStr,gsAutoSteerConfiguration,,Auto Steer Configuration,,zAuto Steer Configuration,,Autostyring Indstillinger,,Lenkeinstellungen,,Configuración Autoguiado,,Automaattiohjauksen asetukset,,Configuration autoguidage,,Automata kormányzás beállítása,,Configurazione Autoguida,,Automatinio vairavimo konfig?racija,,Autom?tisk?s st?r?šanas konfigur?cija,,Autostuur Configuratie,,Konfigurer autostyring,,Konfiguracja Autoprowadzenia,,Configuração de direção automática,,????????? ??????????,,Nastavenie Autopilota,,Konfiguracija autopilota,,Otomatik Yönlendirme Yap?land?rmas?,,???????????? ??????????,,?????
AgOpenGPS,Culture\gStr,gsAutoSteerPort,,AutoSteer Port,,zAutoSteer Port,,Autostyrings Port,,AutoSteer Port,,Puerto de Autoguiado,,Automaattiohjauksen portti,,Port autoguidage,,Automata kormányzás portja,,Porta Autoguida,,Automatinio vairavimo prievadas,,Autom?tisk?s st?r?šanas ports,,Autosteer Configuratie,,Port for autostyring,,Port Autoprowadzenia,,Porta AutoSteer,,???? ??????????,,Autopilot Port,,Port autopilota,,Otomatik Yönlendirme Port,,???? ??????????,,?????
AgOpenGPS,Culture\gStr,gsAutoSwitchDualFix,,Auto Dual <> Fix,,,,,,,,,,Auto Dual <> Fix,,,,,,Auto Dual <> Fix,,Auto Dual <> Fix,,Auto Dual <> Fix,,,,Auto Dual <> Fiks,,Auto Dual <> Fix,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsAutoSwitchDualFixSpeed,,Switch speed (km/h),,,,,,Umschaltgeschwindigkeit,,,,Dual<>Fix km/h,,,,,,Interruttore Velocità (km/h),,Auto ?jungimas (KM/H),,P?rsl?gšan?s ?trums (km/h),,Dual<>Fix km/h,,Bytt hastighet (km/t),,Pr?dko?? prze??czania (km/h),,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsBackground,,Background,,,,Baggrund,,Hintergrund,,,,Tausta,,Arrière-plan,,Háttér,,Sfondo,,Fonas,,Fons,,Achtergrond,,Bakgrunn,,T?o,,,,???,,,,Pozadina,,,,,,
AgOpenGPS,Culture\gStr,gsBasedOnField,,Based on Field:,,zBased on Field:,,Baseret På Mark,,Basierend auf Feld:,,Basado en parcela:,,Perustuen peltoon:,,Basé sur le champ:,,A következ? terület alapján:,,Basato Sul Campo,,Remiantis lauku:,,Pamatojoties uz lauku:,,Gebaseerd op veld:,,,,Na podstawie pola:,,Com base no campo:,,?????? ????,,Použi? pole: ,,Koristi parcelu:,,Alana Göre:,,??????.????,,??:
AgOpenGPS,Culture\gStr,gsBottomMenu,,Bottom Menu,,,,Bund Menu,,Unteres Menü,,,,Alavalikko,,Menu du bas,,Alsó menü,,Menu Inferiore,,Apatinis menu,,Apakš?j? izv?lne,,Onderste Rij Menu,,Bunnmeny,,Dolne menu,,,,?????? ????,,,,Donji meni,,,,,,
AgOpenGPS,Culture\gStr,gsBoundary,,Boundary,,zBoundary,,Markgrænse,,Schlaggrenze erstellen,,Lindero,,Raja,,Bordures,,M?velési határ,,Confine,,Ribos,,Robeža,,Perceelgrens,,Grense,,Granica,,Limite,,???????,,Hranica,,Granica,,S?n?r,,????,,??
AgOpenGPS,Culture\gStr,gsBoundaryLineFilesAreCorrupt,,Boundary Lines File Corrupt,,zBoundary Lines File Corrupt,,Fejl I KantlInjens Fil,,Außengrenze datei fehlerhaft,,Fichero de lindero corrupto,,Rajaviivatiedosto korruptoitunut,,Fichier bordures corrompu,,M?velési határvonal fájlja sérült,,Il File Delle Linee Di Confine è Corrotto,,Ribini? linij? failas sugadintas,,Robežl?niju fails ir boj?ts,,Perceelgrens lijn is corrupt,,Grensefilene er korrupte,,Uszkodzony plik granic,,Arquivo de linhas de limite corrompido,,???? ?????? ?????????,,Súbor s hranicou je neplatný,,Fajl grani?ne linije neispravan,,S?n?r Çizgileri Dosyas? Bozuk,,???? ??????? ????? ??????????,,???????
AgOpenGPS,Culture\gStr,gsBoundaryMenu,,Boundary Contour,,zBoundaryMenu,,Menu Markgrænse,,Kontur an der Außengrenze,,Contorno del lindero,,Rajakäyrä,,Menu bordures,,Határgörbe,,Menu confine,,Ribinis kont?ras,,Robežas kont?ra,,Perceelgrens Menu,,Grensekontur,,Kontur granicy,,Contorno de limite,,?????? ???????,,Kontúra hranice ,,Meni granice,,,,?????? ???????,,
AgOpenGPS,Culture\gStr,gsBrightness,,Brightness,,,,Lysstyrke,,Helligkeit,,Brillo,,Kirkkaus,,Luminosité,,Fényer?,,Luminosità,,Švesumas,,Spilgtums,,Helderheid,,Lysstyrke,,Jasno??,,,,???????,,,,Osvetljenje,,,,,,
AgOpenGPS,Culture\gStr,gsBuild,,Build,,,,Byg,,Erstellen,,Construir,,Luo,,Créer,,Épít,,Costruisci,,Sukurti,,Izveidot,,Maak,,Bygg,,Utwórz,,,,???????,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsBuildAround,,Build Around,,,,Byg omkring,,Herum aufbauen,,Construir alrededor,,Luo Ympärille,,Autour,,Körbe épít,,Costruisci Attorno,,Sukurti aplink,,Izveidot apk?rt,,Maak rondom,,Bygg rundt,,Utwórz wokó?,,,,??????? ??????,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsButFieldIsLoaded,,But Field Is Loaded,,zBut Field Is Loaded,,Men Mark Er Indlæst,,aber Feld wurde geladen,,Parcela todavía cargada,,Mutta pelto on ladattu,,Champ tout de même chargé,,BUT fájl betöltve,,Campo Gia' Caricato,,Laukas užkrautas,,Lauks jau ir iel?d?ts,,maar veld is geladen,,Men feltet er lastet,,Pole ju? za?adowane,,Mas o campo está carregado,,???? ?????????,,Pole je už na?ítané,,Parcela je ve? u?itana,,Ama Alan Yüklendi,,???? ???????????,,?????
AgOpenGPS,Culture\gStr,gsButtonPicker,,Button Picker,,,,Knap vælger,,Tastenauswahl,,Seleccionador de botones,,Napin valitsin,,Sélecteur de boutons,,Gombválasztó,,Selettore Pulsante,,Mygtuko parinkimas,,Pogu izv?le,,Knoppen Kiezer,,Knappvelger,,Wybór przycisku,,,,????? ??????,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsCameraBehavior,,Camera Behavior,,,,Kamera adfærd,,Kameraverhalten,,Comportamiento de cámara,,Kameran käyttäytyminen,,Comportement caméra,,Kamera viselkedése,,Comportamento Camera,,Kameros elegsena,,Kameras reakcija,,Camera-reactie,,Kameraatferd,,Zachowanie kamery,,,,????????? ??????,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsCancel,,Cancel,,,,Afbryd,,Abbrechen,,Cancelar,,Peru,,Annuler,,Mégsem,,Cancella,,Atšaukti,,Atcelt,,Afbreken,,Avbryt,,Zamknij,,,,??????,,,,Prekini,,,,,,
AgOpenGPS,Culture\gStr,gsCenter,,Center,,,,Centrere,,Mitte,,Centro,,Keskitä,,Milieu,,Középre,,Centra,,Centras,,Centrs,,Midden,,Midten,,?rodek,,,,?????,,,,??????,,,,,,
AgOpenGPS,Culture\gStr,gsCentimeters,,Centimeter,,zCentimeter,,cm,,Zentimeter,,Centímetros,,Senttimetri,,Centimètre,,Centiméter,,Centimetri,,Centimetras,,Centimetrs,,Centimeter,,Centimeter,,cm,,Centímetro,,??,,Centimetre,,cm,,Santimetre,,??????????,,??
AgOpenGPS,Culture\gStr,gsCharts,,Charts,,zCharts,,Grafik,,Diagramme,,Gráfico,,Kaaviot,,Graphiques,,Grafikonok,,Grafico,,Diagramos,,Diagrammas,,Grafiek,,Diagrammer,,Wykresy,,Gráficos,,???????,,Graf,,Grafikoni,,Tablosu,,?????,,
AgOpenGPS,Culture\gStr,gsCheckForUpdates,,Check for Updates,,,,Kontroller om opdatering,,Nach Updates suchen,,Revisar actualizaciones,,Tarkasta Päivitykset,,Vérifier les mises à jour,,Frissítések keresése,,Controllo Aggiornamenti,,Patikrinti atnaujinimus,,P?rbaud?t atjaunin?jumus,,Check hier voor updates!,,Se etter oppdateringer,,Sprawd? aktualizacje,,,,????????? ??????????,,,,Ažuriraj,,,,,,
AgOpenGPS,Culture\gStr,gsChoose,,Choose,,,,Vælg,,Wählen,,Escoger,,Valitse,,Choisir,,Válassz,,Scegli,,Pasirinkti,,Izv?l?ties,,Kies Modus,,Velg,,Wybierz,,,,???????,,,,Izbor,,,,,,
AgOpenGPS,Culture\gStr,gsChooseADifferentField,,Choose a different field,,zChoose a different field,,Vælg anden mark,,Wählen sie ein anderes Feld,,Seleccione otra Parcela,,Valitse toinen pelto,,Choisissez un autre champ,,Válassz egy másik területet,,Scegli Un Campo Diverso,,Pasirinkite kit? lauk?,,Izv?lieties citu lauku,,Kies een ander perceel,,Velg et annet skifte,,Wybierz inne pole,,Escolha um campo diferente,,???????? ?????? ????,,Vyberte iné pole,,Izaberi drugu parcelu,,Farkl? bir alan seçin,,????.???? ????,,????????
AgOpenGPS,Culture\gStr,gsChooseADifferentName,,Choose a different name,,zChoose a different name,,Vælg andet navn,,Wählen sie einen anderen Namen,,Seleccione otro Nombre,,Valitse toinen nimi,,Choisissez un autre nom,,Válassz egy másik nevet,,Scegli Un Nome Diverso,,Pasirinkite kit? pavadinim?,,Izv?lieties citu nosaukumu,,Kies een andere naam,,Velg et annet navn,,Wybierz inn? nazw?,,Escolha um nome diferente,,???????? ?????? ????????,,Vyberte iný názov,,Izaberi drugi naziv,,Farkl? bir ad seçin,,????.???? ??'?,,????????
AgOpenGPS,Culture\gStr,gsChooseBuildDifferentone,,Choose or Build a Different one,,zChoose or Build a Different one,,Vælg eller opret en anden,,Wählen sie oder erstelle ein Anderes,,Seleccione o cree otro,,Valitse tai rakenna toinen,,Choisissez ou créez  un autre,,Válassz vagy készíts egy másikat,,Scegli O Creane Un Altro,,Pasirinkite arba sukurkite kit?,,Izv?lieties vai izveidojiet citu,,Kies of maak een ander,,Velg eller bygg en annen,,Wybierz lub utwórz inny,,Escolha ou construa um diferente,,???????? ??? ???????? ??????,,"Vyberte, alebo vytvorte iné",,Izaberi ili generiši novo,,Farkl? Birini Seçin veya Olu?turun,,?????.??? ?????.????,,???????
AgOpenGPS,Culture\gStr,gsClipLine,,Clip Line,,,,Klip linje,,Linie schneiden,,Línea de corte,,Leikkaa viiva,,Découpe,,Vonal elvágása,,Linea di Taglio,,Nukirpti linij?,,Nogriezt,,Snij af,,Klipp linje,,Przytnij lini?,,,,????? ???????,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsClose,,Close,,ZClose,,Lukke,,Schließen,,Cerrar,,Sulje,,Fermer,,Bezár,,Chiudere,,Uždaryti,,Aizv?rt,,Sluiten,,Lukk,,Zamknij,,Fechar,,???????,,Zavrie?,,Zatvori,,Kapamak,,???????????,,
AgOpenGPS,Culture\gStr,gsCloseAllWindowsFirst,,Close All Windows First,,zClose All Windows First,,Luk alle vinduer først,,Bitte alle Fenster schließen,,"Por favor, cierre primero todas las ventanas",,Sulje ensin kaikki ikkunat,,Fermez d'abord toutes les fenêtres,,Zárd be az összes ablakot el?ször,,Chiudi prima tutte le finestre,,Pirma uždaryti visus langus,,Vispirms aizveriet visus logus,,Sluit eerst alle vensters,,Lukk alle vinduer først,,Najpierw zamknij okna,,Feche todas as janelas primeiro,,??????? ???????? ??? ????,,,,Najpre zatvorite sve prozore,,,,???????? ???????? ??? ?????,,
AgOpenGPS,Culture\gStr,gsCloseFieldFirst,,Close Field First,,zClose Field First,,Luk først mark,,Feld vorher schließen,,Antes cierre el fichero,,Sulje ensin pelto,,Fermez d'abord le champ,,Zárd be a területet el?ször,,Prima Chiudere Il Campo!,,Pirmiausia uždaryti lauk?,,Vispirms aizveriet lauku,,Sluit eerst perceel,,Lukk skiftet først,,Najpierw zamknij pole,,Fechar campo primeiro,,??????? ???????? ????,,Najskôr zavrite pole,,Najpre zatvorite polje,,Önce Alan? Kapat,,?????? ??????? ????,,??????
AgOpenGPS,Culture\gStr,gsCmPix,,Cm -> Pixel,,,,,,,,Cm -> Pixel,,Cm -> Pixel,,Cm -> Pixel,,Cm -> Pixel,,Cm -> Pixel,,Cm -> Pixel'is,,Cm -> Pikselis,,,,Cm -> Piksel,,Cm -> Pixel,,,,,,,,,,,,,,
AgOpenGPS,Culture\gStr,gsColorPicker,,Color Picker,,,,Farve vælger,,Farbauswahl,,Seleccionador de colores,,Värin Valitsin,,Sélecteur de couleurs,,Színválasztó,,Selettore Colore,,Spalvo parinkimas,,Kr?su izv?le,,Kleuren-waaier,,Fargevelger,,Wybór koloru,,,,????? ?????,,,,Izbor boje,,,,,,
AgOpenGPS,Culture\gStr,gsColors,,Colors,,zColors,,Farver,,Farben,,Colores,,Värit,,Couleurs,,Színek,,Colori,,Spalvos,,Kr?sas,,Kleuren,,Farger,,Kolory,,Cores,,?????,,Farby,,Boje,,Renkler,,???????,,??
AgOpenGPS,Culture\gStr,gsCompletelyDeleteBoundary,,Completely Delete Boundary,,zCompletely Delete Boundary,,Slet kant fuldstændig,,Schlaggrenze löschen,,Borrar completamente Lindero,,Poista raja kokonaan,,Supprimer totalement la bordure,,M?velési határ teljes törlése,,Cancellare Completamente Il Confine,,Visiškai ištrinkite rib?,,Piln?b? dz?st robežu,,Verwijder de hele perceelgrens,,Slett grensen fullstendig,,Ca?kowicie usu? granic?,,Excluir completamente o limite,,????????? ??????? ???????,,Kompletne vymaza? hranicu,,Brisanje granice,,S?n?r? Tamamen Sil,,???????? ?????? ????,,??????
AgOpenGPS,Culture\gStr,gsConfiguration,,Configuration,,zConfiguration,,Indstillinger,,Konfiguration,,Configuración ,,Asetukset,,Configuration,,Beállítások,,Configurazione ,,Konfig?racija,,Konfigur?cija,,Configuratie,,Konfigurasjon,,Konfiguracja ,,Configuração ,,????????????,,Nastavenie ,,Podešavanja,,Yap?land?rmas?,,????????????,,?????
